name,region,variety,rating,notes
Jaffurs Santa Barbara Syrah 2008,"Central Coast, California",Red Wine,92.0,"The 2008 Santa Barbara County Syrah combines fruit from most of the vineyards we work with. More than a sum of its parts, it is dark and rich. This year's vintage has a little Petite Sirah blended in to add power and complexity. It is a serious wine that is approachable in its youth. Sharing the same farming and winemaking techniques as our vineyard designated wines, it is a wine of great complexity and lower price. (1166 cases produced). "
Chambers Rosewood Muscadelle (375ML half-bottle),"Rutherglen, Victoria, Australia",Screw Cap,90.0,"In the warm fall climate, the grapes ripen and shrivel on the vines producing natural sugar levels in the range of 16.7 - 20 degrees Baume. The raisined grapes are then picked, crushed and partially fermented before being fortified and then subjected to a wood-aging program loosely resembling a solera system that lasts (in some cases) for over 100 years."
La Crema Sonoma Coast Chardonnay (375ML half-bottle) 2016,"Sonoma Coast, Sonoma County, California",White Wine,90.0,"Apricot, lemon, Gala apple, subtle oak and spice aromas. Lemon drop, white stone fruit, yellow plum and Galia melon flavors. Richly textured, and concentrated with a balanced acidity that drives a lingering finish."
King Estate Willamette Valley Pinot Noir 2006,"Willamette Valley, Oregon",Red Wine,92.0,Color: Bright garnet with ruby tint clarity and brilliance.
Dry Creek Vineyard Meritage 1998,"Sonoma County, California",Red Wine,92.0,"A soft, elegant wine with loads of berry fruit.  Luscious cherry, berry, and spice aromas play against a trace of cedar and herbs.  Juicy black cherry, plum, and blackberry flavors layer fruit accents onto chocolate, cassis, and mint notes.  Full in the mouth, soft tannins combine with sweet vanilla oak.  The finish is smooth, round, and accessible.  Excellent depth and balance make this Meritage exceptionally drinkable now. "
Artazu Pasos de San Martin Garnacha 2013,"Navarra, Spain",Red Wine,91.0,"A vibrant and fruity wine, with soft and fresh tannins. It´s a wine full of power and authenticity."
Joseph Phelps Insignia 2007,"Napa Valley, California",Red Wine,91.0,"The darkly pigmented 2007 Insignia is a perfectexample of the amazing color this vintageproduced. Rich aromatics of mineral, bakingspices, dark chocolate, graphite, and opulentplum and blackberry lead to the concentrated andbalanced mouthfeel. Silky, well structured tannins,core black fruit and sweet oak notes fromour estate vineyards create length and weight thatwill allow this beautiful wine to age, as well asremain approachable in its youth."
Clarendon Hills Clarendon Vineyard Grenache 2005,"McLaren Vale, South Australia, Australia",Red Wine,91.0,"Spiced red fruit notes integrate with the lightly textured tannins. The balance of unique vintage spice and the clarity of varietal characters make for a pleasing, lightly structured Clarendon vineyard Grenache."
Les Cretes Valle d'Aosta Cuvee Bois Chardonnay 2016,"Valle d'Aosta, Italy",White Wine,94.0,"The opening to the nose ranges from banana to candied citron, compositional grapes, accompanied by a spicy kick aptly presented by toasted oak. The entire nose-taste sensation transmits a dense texture to the palate, rich and candied, with great balance and elegance. A long finish slowly thins out with great pleasantness. Food accompaniments: great international cuisine, fondue and flan, fish, foie gras, fatty and blue cheeses."
Ciacci Piccolomini d'Aragona Brunello di Montalcino (375ML half-bottle) 2007,"Montalcino, Tuscany, Italy",Red Wine,90.0, 
Baileyana Firepeak Chardonnay 2007,"Central Coast, California",White Wine,90.0,"This wine is a Baileyana standard, with a flavor profile consistent from one vintage to the next. The 2007 vintage produced beautifully ripe, flavorful berries, allowing me to again make this local favorite. The signature combination of minerality and tropical characteristics really comes through in the glass, and it has a nice, long, clean finish."
Antinori Solaia 2004,"Tuscany, Italy",Red Wine,96.0,"Blend: 75% Cabernet Sauvignon, 20% Sangiovese,  5% Cabernet Franc  "
Jamieson Ranch Vineyards Double Lariat Cabernet Sauvignon (1.5 Liter Magnum) 2013,"Atlas Peak, Napa Valley, California",Red Wine,92.0,"Enticing aromas jump out of the glass with this beautiful Cabernet Sauvignon. Notes of black currant, anise, and cedar intrigue the senses. Flavors of cassis, blackberry, and black cherry coat the palate leading to supple tannins that carry through a lengthy finish. The Double Lariat Cabernet is highly elegant yet accessible for any occasion and any connoisseur."
Ceretto Santo Stefano Moscato d'Asti (375ML half-bottle) 2008,"Asti, Piedmont, Italy",White Wine,90.0,"This sweet white is the dessert wine par excellence. Straw-yellow of varying intensity depending on the vintage, it has an intensely fruity nose which is aromatic and very persistent. The sweet flavor is beautifully balanced with the low alcohol (5% vol.) and the acidity, which - though never high - gives the product an appealing freshness. Pairing suggestions: fresh fruit peaches, strawberries, blueberries, raspberries… cream-based desserts panna cotta. "
Gran Moraine Yamhill-Carlton Chardonnay 2014,"Yamhill-Carlton District, Willamette Valley, Oregon",White Wine,92.0,"Aromas of white peach, macaroon, navel orange, lemon curd, poached pear, rose petal and apricot blossom. The palate has lively acidity, gravely minerality and flavors of Nashi pear, honeydew melon, Golden Delicious apple and flint followed by a long citrus driven finish."
Cloudy Bay Sauvignon Blanc 2008,"Marlborough, New Zealand",White Wine,92.0,"Scented and summery, the 2008 Cloudy Bay Sauvignon Blanc has deliciously vibrant aromatics that infuse the tropical fragrance of fresh passionfruit and juicy pineapples with garden-fresh basil and the spiciness of crushed tomato leaves. The palate is long and succulent, combining exotic fruits with ripe, red capsicum and a twist of green olive... beautifully complemented by crisp natural acidity and a hint of lime zest."
Freemark Abbey Napa Valley Cabernet Sauvignon 1997,"Napa Valley, California",Red Wine,90.0,"Intense ruby color. Appealing nose of cherries, strawberries, and ripe plums. Smooth flavors of cherries, bittersweet chocolate, and vanilla oak with hints of coffee and clove. Drinks well now, yet loaded with depth for 10-15 years of additional aging."
Brocard Sainte Claire Chablis (375ML half-bottle) 2016,"Chablis, Burgundy, France",White Wine,90.0,"On the nose, this wine offers notes of lemon and citrus. On the palate, it is balanced -- tangy and full."
Ashes & Diamonds Red Hen Vineyard Cabernet Sauvignon 2016,"Oak Knoll District, Napa Valley, California",Red Wine,93.0,"The ""Red Hen Vineyard"" comes from Bart and Daphne Araujo’s property in the Oak Knoll District of Napa Valley. The well-drained gravelly loam soil acts like a sponge, naturally pulling rainwater down from the neighboring mountains and requiring little to no irrigation. The wine is 100% Cabernet Sauvignon from four different blocks with distinct characteristics, fermented together by native yeasts. The resulting wine has quiet power, poise and impressive length that comes in waves. The bright, fresh fruit combined with silky, weightless tannins are the hallmark of this benchland site."
Frescobaldi Castelgiocondo Brunello di Montalcino (1.5 Liter Magnum) 2008,"Montalcino, Tuscany, Italy",Red Wine,90.0,"Castelgiocondo Brunello di Montalcino is a clear ruby red with garnet highlights. Pronounced notes of blackberry are elegantly accompanied by floral notes such as violet. The nose is complex and well-blended: spicy notes of black pepper and clove, tobacco and leather, and ""jus de viande"" reflect well the evolution of the wine. Resonating tannin textures, mellow structure with a long and elegant finish."
Beaux Freres The Beaux Freres Vineyard Pinot Noir 2005,"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,93.0,"The color is dark ruby with plenty of purple highlights. The nose is very extroverted and shows no intention of shutting down. At present the wine reveals pure blue and black fruits, (primarily black cherries, raspberries, and a hint of blackberries) along with tell-tale beet root, earth and herb notes. In the mouth the wine is rich and full bodied, yet displays a lighter, more delicate finish.  "
Burn Cottage Cashburn Pinot Noir 2014,"Central Otago, New Zealand",Red Wine,90.0,"Ripe dark cherry, redcurrant and chocolate notes precede savoury notes of wild thyme, briar, and earth. Supple mouthfilling tannins give depth to the palate, while the freshness and red-berry acidity retain lovely length, focus, and balance."
Chateau Quinault l'Enclos 2010,"St. Emilion, Bordeaux, France",Red Wine,90.0,"The color is a dark, deep red. The nose is consistent with that intensity: it presents aromas of black fruits, blackberries, cherries, mingling with delicate floral notes that give it a certain freshness. The attack is strong and it is extended by a soft tannins which are nice and well present in balance. The finish is fresh with velvety aromatic maturity."
Leonetti Merlot (loose foil capsule) 2000,"Columbia Valley, Washington",Red Wine,91.0,"The 2000 vintage was extraordinary in Washington, and Leonetti's 2000 Merlot certainly lives up to that billing. With a nose driven by high-tone fruit, vanillin, and spice, this wine is loaded with varietal character. The Leonetti house style for Merlot really shows through, as this wine is very concentrated, but ends with a fleshy softness that makes this wine so attractive to drink. This wine is 100% Merlot."
Chateau Ste. Michelle Indian Wells Vineyard Merlot 1997,"Columbia Valley, Washington",Red Wine,89.0,"Ripe and luscious black cherry and berry aromas are distinguished by an appealing leather, mocha, and tobacco complexity. Very bright, full and sweet ripe fruit flavors are balanced by solid tannins, concluding in a long and full finish."
Banfi Excelsus 1993,"Tuscany, Italy",Red Wine,90.0,"Our premier cuvee of estate wines, produced solely in outstanding vintages.  An elegant marriage of Cabernet Sauvignon and Merlot.  Rich color, complex structure and luscious fruit flavors."
Aberrant Cellars Carpe Noctem Pinot Noir 2011,"Willamette Valley, Oregon",Red Wine,94.0,"There are some activities which simply seem better suited for when darkness falls and our animal spirits are once again awakened from daytime temperance...in addition to those, savoring this provocative wine should be placed toward the top of the list. As the name of this wine suggests, one can easily get lost in its magnitude[much like the night, itself]- deep, sensuous, structured and carnal, yet graceful enough to walk the high-wire of balance. Sadly, attributes such as these are fleeting and nature will only provide a tiny bounty in which to offer such rare qualities- such is wine as in life. So for those up to the task, carpe diem and then, Carpe Noctem!"
Concha y Toro Casillero Del Diablo Chardonnay 2005,Chile,White Wine,87.0,"The Chardonnay grapes are fermented in 60 liter American oak barriques, and then matured for seven months - part in stainless steel tanks and part in the oak barriques. The result is an elegant, full bodied wine with exceptional character, that goes well with seafood, poultry, medium-sauced pastas, as well as most cheeses."
Januik Winery Cold Creek Vineyard Chardonnay 2013,"Columbia Valley, Washington",White Wine,91.0,"Rich and elegant, the Cold Creek Vineyard Chardonnay has hints of citrus, pear, and honey crisp apple as well as a slight mineral quality. It has a rich creamy texture on the palate and a bright lingering finish."
A to Z Pinot Gris 2009,"Willamette Valley, Oregon",White Wine,88.0,"The 2009 A to Z Oregon Pinot Gris shimmers in the glass with pear, ginger, almond and vanilla aromas. Juicy, bright and succulent on the attack, this wine showcases flavors of tangerine, melon, pineapple and wet stone. The wine is framed by ripe acidity giving classic Oregon Pinot Gris proportions and lift to the richness. The long finish slides effortlessly from the mid-palate with lingering impressions of tantalizing, pure, intense fruit."
Chateau L'Evangile 1994,"Pomerol, Bordeaux, France",Red Wine,90.0,"As is traditional in Pomerol, the grape blend of this estate is mainly Merlot (65%) which gives the fruit, the body and the softness to the wine, the rest being planted in Cabernet Franc, which gives structure and finesse. The vines are of an average age of 30 years. The cellar operations are mainly traditional, mixed with the best of modern methods. L'Evangile has  the full color, the tannins and the bouquet of the grapes from the Pomerol area. After fermentation, the wine is kept in oak casks for two years."
Bodegas Lan Rioja Edicion Limitada 2015,"Rioja, Spain",Red Wine,90.0,"Intense garnet color with bright red hues. Complex yet attractive nose of ripe fruit (plums, blackberry, and redcurrant), hints of sweet spice (clove, cinnamon), layers of coffee, cigar-box and the earthiness and minerality characteristic of all the wines made with grapes sourced from the ""Vina Lanciano"" estate."
Herencia Altes Garnatxa Negra 2012,Spain,Red Wine,91.0,"Bright crimson in color, this wine is very expressive with notes of red fruits and minerals that leap from the glass. Plenty of fruit on the palate, a touch of complexity and sweet tannins. "
Jeff Cohn Cellars Haley's Reserve Rockpile Syrah 2006,"Sonoma County, California",Red Wine,93.0,"Effusive aromatics of ripe blackberry and blueberryfruit are entwined with touches of graphite and smoky game. Theexotic berry aromas are bolstered by an impressive dense and richpalate. Supple tannins draw out an exceptionally long, dark and sexyfinish."
Eyrie Reserve Pinot Noir 2003,"Willamette Valley, Oregon",Red Wine,90.0,"""The 2003 Pinot Noir Reserve is the product of an exceptionally challenging hot vintage in which successes were the exception. Somehow The Eyrie Vineyards was able to produce a wine of elegance and grace. The wine was aged entirely in seasoned oak. Light to medium ruby in color, it has an enticing perfume of cherry and raspberry, a silky smooth texture, concentrated flavors, and a lengthy finish. It may lack the depth and richness of a great year but it is a superb effort in the 2003 vintage."""
Foppiano Estate Petite Sirah 2008,"Russian River, Sonoma County, California",Red Wine,88.0,"On the nose blueberries and dark chocolate are the predominant aromatics with a touch of floral and spice. Flavors of blueberry, blackberry and black cherry commingle with hints of graham cracker and vanilla and a touch of white pepper. The well structured tannins produce a long silky finish with fruit to the end."
Domaine Grand Veneur Chateauneuf-du-Pape Les Origines (1.5 Liter Magnum) 2007,"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0,"Deep red purple color. The nose displays dark fruit aromas of blackcurrant and cherry, spices and vanilla. Intense and complex flavors in the mouth, spices and ripe fruit flavors, smooth and silky tannins. Great length, licorice and pepper notes on the finish."
Clarendon Hills Brookman Syrah 2001,"McLaren Vale, South Australia, Australia",Red Wine,93.0,"The appearance is of a very intense wine with a red/black mixture that is impenetrable to the eye. On the bouquet, this wine shows particularly savory characters with nuts, fennel and herbal touches along with a briary, woody overlay. There are some lovely fruit flavors peeping through, and these are in the red berry spectrum. When you taste the wine the fruit flavors are far more prominent, with raspberry and red currant dominating. The wine is soft at the finish, as this is in total harmony with the fruit and the aromas. The softness certainly makes the wine an attractive drinking proposition in its youth, although the balance of the wine will allow it to develop further in the bottle."
Hogue Gewurztraminer 2009,"Columbia Valley, Washington",White Wine,90.0,"During the grape growing season, eastern Washington boasts warm summer days followed by cool nights, ensuring that grapes ripen fully while retaining ample natural acidity. Gewürz means ""spice"" in German. Traminer is the grape varietal thought to be originally from the Alto Adige region of Italy. True to its name, our Gewürztraminer offers up varietal spiciness, along with intense aromas and flavors of lychee, apricot, peach, and citrusy notes of orange and lemon-lime. Soft and rich, with a balancing acidity and a slight mineral character, Gewürztraminer is excellent as an apéritif. Serve with Thai spring rolls, sweet and spicy pork lettuce wraps, or roast turkey with all the trimmings."
A.P. Vin Rosella's Vineyard Pinot Noir 2009,"Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,95.0,"Lively berries jump out of the glass in this rich, elegant wine. We're tempted to keep all 325 cases for ourselves! Viscous with sweet, mouth-coating goodness and a delicate nose. Complexity that only long hang time can deliver. Delicious! "
HandCraft Petite Sirah 2010,California,Red Wine,90.0,"Jammy fruit from beginning to end—starting with aromas of blueberry pie, nutmeg and pepper. In the mouth, flavors expand to include boysenberry, plum, blueberry and spice. This full bodied wine has a bold tannin structure and balanced acidity that lead to a long finish. This big wine is anything but ""petite."""
